departamento,provincia,distrito,centro_poblado,categoria,codigo_de_ubigeo_y_centro_poblado,longitud,latitud,altitud,poblacion,vivienda,agua_por_red_publica,energia_electrica_en_la_vivienda,desague_por_red_publica,via_de_mayor_uso,transporte_de_mayor_uso,frecuencia,tiempo_en_minutos_hacia_la_capital_del_distrito,distancia_del_centro_poblado_hacia_la_capital_del_distritokm,distancia_del_centro_poblado_hacia_el_centro_poblado_educativo,distancia_del_centro_poblado_hacia_el_centro_de_salud_mas_cerca,alumbrado_publico,telefono_publico,local_comunal,hostal__albergue,estacion_de_radio,institucion_educativa_primaria,institucion_educativa_secundaria,establecimiento_puesto_de_salud,puesto_policial,oficina_de_correo,cabina_de_internet,heladas_nevadas,granizadas,lluvias,sequias,vendavales_vientos_fuertes,inundaciones,derrumbesdeslizamientos,huaycos__aludesaluviones,desertificaciones,salinizacion_de_los_suelos,actividad_volcanica,sismos,tsunami_u_oleadas_anomalos,otros_fenomenos_nat,derrame_de_sustancias_o_desechos_toxicos,fugas_de_gases_toxicos,explosiones,incendios_y_quemas,crianza_de_animales_en_zonas_urbanas,incremento_de_zonas_indus_no_autorizadas,zonas_aereoportuarias,rellenos_sanitarios,subversiones_yo_conflictos_sociales,otros_peligros,un_lecho_de_rio_o_quebrada,un_cuartel_militar_o_policial,una_via_ferrea,la_erosion_de_rios_en_laderas_de_cerros,barrancos_o_precipicios,otros,pistas_y_veredas_en_la_mayori_de_sus_calles_yo_manzanas,canales_de_drenaje_en_las_calles_para_la_evacuacion_de_las_agua,idioma_o_lengua_que_se_habla_con_mayor_frecuencia
AYACUCHO,HUANCA SANCOS,SANCOS,LOCCLOSA,,0503010043,-74.5986600000,-14.0261220000,4005.3,4,3,no,no,no,camino carrozable,a pie,,360,89.8,46.78,46.8,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,
AYACUCHO,HUANCA SANCOS,CARAPO,ÑUÑUNHUANI,,0503020043,-74.2632533333,-13.8379483333,4108.7,0,1,,,,,,,0,51.3,18.22,18.55,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYACUCHO,HUANCA SANCOS,SACSAMARCA,CHUYCO CHUCO,,0503030043,-74.2742916667,-14.0352366667,4011.5,3,2,no,no,no,camino de herradura / trocha,a pie,,90,37,15.62,16.99,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
AYACUCHO,HUANCA SANCOS,SANTIAGO DE LUCANAMARCA,PALLALLA,,0503040043,-74.5192880000,-13.7676612222,4141,1,3,no,no,no,camino de herradura / trocha,a pie,,1560,291.3,25.24,27.59,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
AYACUCHO,HUANTA,HUANTA,MIO PATASUCRO,,0504010043,-74.2428164753,-12.9097605847,3243.2,200,60,si,si,no,camino carrozable,moto/mototaxi,diario,40,16.7,0.06,3.69,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,no,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,

AYACUCHO,HUANTA,LURICOCHA,URPAYPAMPA,,0504050043,-74.2829216667,-12.7998016667,2326.8,5,3,no,no,no,camino de herradura / trocha,a pie,,360,78.8,7.76,7.67,no,no,no,no,no,no,no,no,no,no,no,si,si,si,no,si,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,si,no,no,no,
AYACUCHO,HUANTA,SANTILLANA,CHACHASPUCRO,,0504060043,-74.2457750000,-12.7634800000,3615.2,12,7,si,si,no,camino de herradura / trocha,a pie,,60,8.8,3.26,3.25,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,
AYACUCHO,HUANTA,SIVIA,PAMPA HERMOSA,,0504070043,-73.8758500000,-12.5861133333,907.5,26,12,no,si,no,camino carrozable,omnibus,diario,70,41,2.5,2.48,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,si,no,no,no,no,no,no,no,no,no sabe,no,no,no,si,no,no,no,no,no,no sabe,si,no,no,no,no,no sabe,no,no,quechua
AYACUCHO,HUANTA,LLOCHEGUA,ANATO,,0504080043,-73.9042350000,-12.4496266667,600.1,50,10,si,si,no,carretera asfaltada,automovil,diario,20,16,,6.52,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,shipibo
AYACUCHO,LA MAR,SAN MIGUEL,URAWASI,OTROS,0505010043,-74.0187350000,-13.0286333333,3339.7,2,2,no,no,no,camino de herradura / trocha,a pie,,120,11.8,1.86,5.53,no,no,no,no,no,no,no,no,no,no,no,si,si,si,si,si,si,si,si,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,si,si,no,no,si,no,no,no,quechua
